,country_name,total_cases,total_deaths,total_recovered,lat,long,text
0,Andorra,673,33,169,42.546245,1.601554,"Country: Andorra
 Total Case:673
 Total Death:33
 Total Recovered:169"
1,Afghanistan,784,25,43,33.93911,67.709953,"Country: Afghanistan
 Total Case:784
 Total Death:25
 Total Recovered:43"
2,Anguilla,3,,1,18.220554,-63.068615,"Country: Anguilla
 Total Case:3
 Total Death:
 Total Recovered:1"
3,Albania,494,25,251,41.153332,20.168331,"Country: Albania
 Total Case:494
 Total Death:25
 Total Recovered:251"
4,Armenia,1111,17,297,40.069099,45.038189,"Country: Armenia
 Total Case:1111
 Total Death:17
 Total Recovered:297"
5,Angola,19,2,5,-11.202692,17.873887,"Country: Angola
 Total Case:19
 Total Death:2
 Total Recovered:5"
6,Argentina,2443,109,596,-38.416097,-63.616672,"Country: Argentina
 Total Case:2443
 Total Death:109
 Total Recovered:596"
7,Austria,14325,393,8098,47.516231,14.550072,"Country: Austria
 Total Case:14325
 Total Death:393
 Total Recovered:8098"
8,Australia,6447,63,3686,-25.274398,133.775136,"Country: Australia
 Total Case:6447
 Total Death:63
 Total Recovered:3686"
9,Aruba,92,1,32,12.52111,-69.968338,"Country: Aruba
 Total Case:92
 Total Death:1
 Total Recovered:32"
10,Azerbaijan,1253,13,404,40.143105,47.576927,"Country: Azerbaijan
 Total Case:1253
 Total Death:13
 Total Recovered:404"
11,Barbados,73,5,15,13.193887,-59.543198,"Country: Barbados
 Total Case:73
 Total Death:5
 Total Recovered:15"
12,Bangladesh,1231,50,49,23.684994,90.356331,"Country: Bangladesh
 Total Case:1231
 Total Death:50
 Total Recovered:49"
13,Belgium,33573,4440,7107,50.503887,4.469936,"Country: Belgium
 Total Case:33573
 Total Death:4440
 Total Recovered:7107"
14,Burkina Faso,528,30,177,12.238333,-1.561593,"Country: Burkina Faso
 Total Case:528
 Total Death:30
 Total Recovered:177"
15,Bulgaria,747,36,105,42.733883,25.48583,"Country: Bulgaria
 Total Case:747
 Total Death:36
 Total Recovered:105"
16,Bahrain,1671,7,663,25.930414,50.637772,"Country: Bahrain
 Total Case:1671
 Total Death:7
 Total Recovered:663"
