,country_name,total_cases,total_deaths,total_recovered,lat,long,text
0,Andorra,704,35,205,42.546245,1.6015540000000001,"Country: Andorra
 Total Case:704
 Total Death:35
 Total Recovered:205"
1,Afghanistan,933,30,112,33.93911,67.709953,"Country: Afghanistan
 Total Case:933
 Total Death:30
 Total Recovered:112"
2,Anguilla,3,,1,18.220554,-63.068615,"Country: Anguilla
 Total Case:3
 Total Death:
 Total Recovered:1"
3,Albania,548,26,302,41.153332,20.168331,"Country: Albania
 Total Case:548
 Total Death:26
 Total Recovered:302"
4,Armenia,1248,20,523,40.069099,45.038189,"Country: Armenia
 Total Case:1248
 Total Death:20
 Total Recovered:523"
5,Angola,19,2,5,-11.202691999999999,17.873887,"Country: Angola
 Total Case:19
 Total Death:2
 Total Recovered:5"
6,Argentina,2758,129,685,-38.416097,-63.616671999999994,"Country: Argentina
 Total Case:2758
 Total Death:129
 Total Recovered:685"
7,Austria,14671,443,10214,47.516231,14.550072,"Country: Austria
 Total Case:14671
 Total Death:443
 Total Recovered:10214"
8,Australia,6565,69,4163,-25.274398,133.775136,"Country: Australia
 Total Case:6565
 Total Death:69
 Total Recovered:4163"
9,Aruba,96,2,44,12.52111,-69.968338,"Country: Aruba
 Total Case:96
 Total Death:2
 Total Recovered:44"
10,Azerbaijan,1373,18,590,40.143105,47.576927000000005,"Country: Azerbaijan
 Total Case:1373
 Total Death:18
 Total Recovered:590"
11,Barbados,75,5,15,13.193887,-59.543198,"Country: Barbados
 Total Case:75
 Total Death:5
 Total Recovered:15"
12,Bangladesh,2144,84,66,23.684994,90.35633100000001,"Country: Bangladesh
 Total Case:2144
 Total Death:84
 Total Recovered:66"
13,Belgium,37183,5453,8348,50.503887,4.469936,"Country: Belgium
 Total Case:37183
 Total Death:5453
 Total Recovered:8348"
14,Burkina Faso,557,35,294,12.238333,-1.561593,"Country: Burkina Faso
 Total Case:557
 Total Death:35
 Total Recovered:294"
15,Bulgaria,878,41,153,42.733883,25.48583,"Country: Bulgaria
 Total Case:878
 Total Death:41
 Total Recovered:153"
16,Bahrain,1767,7,741,25.930414000000003,50.637772,"Country: Bahrain
 Total Case:1767
 Total Death:7
 Total Recovered:741"
17,Burundi,5,1,,-3.3730559999999996,29.918885999999997,"Country: Burundi
 Total Case:5
 Total Death:1
 Total Recovered:"
18,Benin,35,1,18,9.30769,2.315834,"Country: Benin
 Total Case:35
 Total Death:1
 Total Recovered:18"
19,Bermuda,83,5,35,32.321384,-64.75737,"Country: Bermuda
 Total Case:83
 Total Death:5
 Total Recovered:35"
20,Brunei,137,1,113,4.535277,114.72766899999999,"Country: Brunei
 Total Case:137
 Total Death:1
 Total Recovered:113"
21,Bolivia,493,31,31,-16.290154,-63.588653,"Country: Bolivia
 Total Case:493
 Total Death:31
 Total Recovered:31"
22,Brazil,35025,2203,14026,-14.235004,-51.92528,"Country: Brazil
 Total Case:35025
 Total Death:2203
 Total Recovered:14026"
23,Bahamas,54,9,9,25.03428,-77.39628,"Country: Bahamas
 Total Case:54
 Total Death:9
 Total Recovered:9"
24,Bhutan,5,,2,27.514162,90.433601,"Country: Bhutan
 Total Case:5
 Total Death:
 Total Recovered:2"
25,Botswana,15,1,,-22.328474,24.684866,"Country: Botswana
 Total Case:15
 Total Death:1
 Total Recovered:"
26,Belarus,4779,45,342,53.709807,27.953389,"Country: Belarus
 Total Case:4779
 Total Death:45
 Total Recovered:342"
27,Belize,18,2,,17.189877,-88.49765,"Country: Belize
 Total Case:18
 Total Death:2
 Total Recovered:"
28,Canada,33137,1346,11126,56.130366,-106.34677099999999,"Country: Canada
 Total Case:33137
 Total Death:1346
 Total Recovered:11126"
29,Switzerland,27404,1366,16400,46.818188,8.227511999999999,"Country: Switzerland
 Total Case:27404
 Total Death:1366
 Total Recovered:16400"
